Dataset Name,model,n_estimators,accuracy,acc_std_dev,f1,f1_std_dev,g_mean,g_mean_std_dev,oracle_mean,oracle_std_dev
vowel0,RLO,80,0.9241655129980003,0.05405997457078047,0.6614359108324626,0.12498525839412432,0.8146807016640096,0.06836061363225733,0.9241655129980003,0.05405997457078047
glass1,RLO,90,0.6311184939091916,0.034717917060482446,0.40018720018720016,0.21221715375236672,0.47151725752712154,0.24164058173134664,0.6311184939091916,0.034717917060482446
wisconsin,RLO,90,0.9560541004723057,0.008134060692547544,0.9377683489092344,0.012360993422885075,0.9544053627483098,0.013419337273770112,0.9560541004723057,0.008134060692547544
pima,RLO,90,0.6940836940836942,0.043838241540173045,0.5120427437730808,0.05771347649324321,0.6109088396844019,0.047237061506875254,0.6940836940836942,0.043838241540173045
ecoli2,RLO,90,0.729675153643547,0.1013484369113074,0.28882591093117405,0.24461290533153843,0.4522224679075834,0.37330214122394434,0.729675153643547,0.1013484369113074
vowel0,RLO,90,0.8645746808183356,0.12371176106836987,0.6035917537746806,0.23022828282655727,0.8051291407099269,0.10200274025995044,0.8645746808183356,0.12371176106836987
glass1,RLO,100,0.5330011074197121,0.06716260897600372,0.32424771066003644,0.19974654976777761,0.37159678975542887,0.19606478275228179,0.5330011074197121,0.06716260897600372
wisconsin,RLO,100,0.9590382138256764,0.01427782094175848,0.9412611055523042,0.021480842322807742,0.9555211070479428,0.02072238513834681,0.9590382138256764,0.01427782094175848
pima,RLO,100,0.6966047024870555,0.037396167714179605,0.5535617730091379,0.09894683986520642,0.6488037116323857,0.08113411410037194,0.6966047024870555,0.037396167714179605
ecoli2,RLO,100,0.6935469710272167,0.09711085798318618,0.25052434923402667,0.16610189819211627,0.45067386402569787,0.2457609053103744,0.6935469710272167,0.09711085798318618
vowel0,RLO,100,0.9494334204994104,0.022982202072286063,0.6978667126674715,0.13239911351295233,0.7856914318973607,0.07470771228849821,0.9494334204994104,0.022982202072286063
