Dataset Name,model,accuracy,acc_std_dev,f1,f1_std_dev,g_mean,g_mean_std_dev,oracle,oracle_std_dev,n_hyper_mean,n_hyper_std_dev
glass1,SGH,0.4254706533776301,0.03066892877153065,0.49332704402515726,0.027054189265376127,0.4155450581499503,0.04622898941107436,0.9953488372093023,0.009302325581395366,3.6,0.4898979485566356
wisconsin,SGH,0.5943323314727351,0.03887392652602286,0.18196154340416637,0.052951708905148935,0.3258886956265356,0.05458327864126471,1.0,0.0,2.8,0.39999999999999997
pima,SGH,0.5480859010270775,0.056526579823794804,0.2450167084377611,0.1307091883346852,0.35009434357963753,0.17935941472402964,1.0,0.0,4.0,0.0
ecoli2,SGH,0.20544337137840207,0.046942710524583264,0.18807876149833,0.025121047998781537,0.273656096906678,0.05351202479865279,1.0,0.0,3.0,0.0
vowel0,SGH,0.753002102240681,0.054697016079602374,0.27805166475315735,0.08698446817330843,0.6203428187429358,0.07683845313142892,1.0,0.0,3.0,0.0
